symbol,direction,entry_time,entry_price,exit_time,exit_price,quantity,pnl,pnl_pct,exit_reason
BTC/USDT,short,2026-02-22 00:15:00,67820.2,2026-02-22 01:15:00,68059.1392857143,100,-23893.92857142957,-0.3523128591692382,Stop Loss
BTC/USDT,long,2026-02-22 11:00:00,68176.2,2026-02-22 12:00:00,68060.26071428572,100,-11593.928571428114,-0.17005829851807688,Stop Loss
BTC/USDT,short,2026-02-22 17:30:00,67232.3,2026-02-22 21:30:00,67508.83571428571,100,-27653.571428571013,-0.41131377966499755,Stop Loss
BTC/USDT,short,2026-02-22 21:30:00,67561.0,2026-02-22 22:45:00,67700.75714285714,100,-13975.714285713912,-0.20686067828649532,Stop Loss
BTC/USDT,short,2026-02-22 23:00:00,67463.0,2026-02-22 23:45:00,67644.84285714285,100,-18184.285714285215,-0.26954457575686247,Stop Loss
BTC/USDT,short,2026-02-23 00:15:00,67442.1,2026-02-23 00:45:00,67000.58571428573,100,44151.42857142782,0.6546567881401649,Take Profit
BTC/USDT,short,2026-02-23 00:45:00,66705.8,2026-02-23 01:00:00,66126.69285714287,100,57910.71428571304,0.8681511095843695,Take Profit
BTC/USDT,short,2026-02-23 01:00:00,65444.4,2026-02-23 01:45:00,64577.614285714306,100,86678.57142856956,1.3244612438737242,Take Profit
BTC/USDT,short,2026-02-23 01:45:00,64387.2,2026-02-23 03:00:00,64982.75357142857,100,-59555.35714285725,-0.9249564687213802,Stop Loss
BTC/USDT,short,2026-02-23 03:00:00,64896.6,2026-02-23 06:30:00,65573.14285714286,100,-67654.28571428565,-1.0424935314682997,Stop Loss
BTC/USDT,short,2026-02-23 06:30:00,65496.5,2026-02-23 07:00:00,65860.42142857143,100,-36392.14285714261,-0.5556349248760256,Stop Loss
BTC/USDT,short,2026-02-23 07:00:00,65751.6,2026-02-23 09:30:00,66112.03928571429,100,-36043.928571428114,-0.5481832924435011,Stop Loss
BTC/USDT,short,2026-02-23 15:45:00,65633.1,2026-02-23 17:15:00,64592.27142857143,100,104082.85714285739,1.585828753218382,Take Profit
BTC/USDT,short,2026-02-23 17:15:00,64548.0,2026-02-24 03:45:00,63340.30714285714,100,120769.2857142858,1.8709996547419874,Take Profit
BTC/USDT,short,2026-02-24 03:45:00,63570.5,2026-02-24 16:00:00,64165.732142857145,100,-59523.21428571449,-0.9363339015064297,Stop Loss
BTC/USDT,long,2026-02-25 12:45:00,66038.7,2026-02-25 13:45:00,66659.42142857144,100,62072.142857144354,0.9399358687730733,Take Profit
BTC/USDT,long,2026-02-25 13:45:00,66209.5,2026-02-25 14:45:00,66961.53571428571,100,75203.57142857101,1.1358426121413243,Take Profit
BTC/USDT,long,2026-02-25 14:45:00,66936.9,2026-02-25 16:15:00,67939.92857142858,100,100302.85714285856,1.4984688138061153,Take Profit
BTC/USDT,long,2026-02-25 19:45:00,69005.2,2026-02-25 22:30:00,68387.92857142857,100,-61727.14285714319,-0.8945288595228069,Stop Loss
BTC/USDT,short,2026-02-26 18:00:00,66742.9,2026-02-26 19:00:00,67426.13928571428,100,-68323.9285714284,-1.0236883409535458,Stop Loss
BTC/USDT,short,2026-02-27 00:30:00,67096.2,2026-02-27 02:00:00,67382.44285714286,100,-28624.28571428609,-0.4266156013945065,Stop Loss
BTC/USDT,short,2026-02-27 03:15:00,67072.1,2026-02-27 03:45:00,67431.82142857143,100,-35972.1428571429,-0.5363205096775394,Stop Loss
BTC/USDT,long,2026-02-27 05:30:00,67802.0,2026-02-27 07:30:00,67428.575,100,-37342.50000000029,-0.5507580897318706,Stop Loss
BTC/USDT,short,2026-02-27 12:30:00,65868.9,2026-02-28 06:15:00,64857.02142857143,100,101187.85714285623,1.5362008040646837,Take Profit
BTC/USDT,short,2026-02-28 06:15:00,64527.8,2026-02-28 06:30:00,63912.821428571435,100,61497.85714285681,0.953044379985941,Take Profit
BTC/USDT,short,2026-02-28 06:30:00,64003.7,2026-02-28 06:45:00,63195.62857142858,100,80807.14285714203,1.2625386166290702,Take Profit
BTC/USDT,short,2026-02-28 06:45:00,63173.8,2026-02-28 07:00:00,63677.01785714286,100,-50321.78571428594,-0.7965610065293831,Stop Loss
BTC/USDT,short,2026-02-28 07:00:00,63727.9,2026-02-28 07:30:00,64298.22142857143,100,-57032.14285714275,-0.8949320918646739,Stop Loss
BTC/USDT,short,2026-02-28 07:30:00,64027.2,2026-02-28 13:45:00,64727.271428571425,100,-70007.14285714275,-1.0933969134546373,Stop Loss
